total_cost,ww_cost,mf_cost,overtime_cost,overflow_events,mf_trips,day
71801.29506944444,28101.295069444444,43700.0,206.9952083333334,18,19,40
67201.29506944444,28101.295069444444,39100.0,256.23361111111114,16,17,41
60301.295069444444,28101.295069444444,32200.0,830.9735416666664,14,14,42
64901.295069444444,28101.295069444444,36800.0,427.4174305555555,16,16,43
74101.29506944444,28101.295069444444,46000.0,124.88215277777773,18,20,44
62601.295069444444,28101.295069444444,34500.0,475.94534722222227,15,15,45
62601.295069444444,28101.295069444444,34500.0,362.6702083333332,15,15,46
71801.29506944444,28101.295069444444,43700.0,454.365347222222,18,19,47
62601.295069444444,28101.295069444444,34500.0,789.6091666666664,15,15,48
62601.295069444444,28101.295069444444,34500.0,644.499375,15,15,49
55701.295069444444,28101.295069444444,27600.0,614.3637499999999,12,12,50
67201.29506944444,28101.295069444444,39100.0,199.67819444444442,16,17,51
64901.295069444444,28101.295069444444,36800.0,593.8472222222223,15,16,52
78701.29506944444,28101.295069444444,50600.0,198.38361111111107,19,22,53
67201.29506944444,28101.295069444444,39100.0,154.24951388888877,16,17,54
67201.29506944444,28101.295069444444,39100.0,329.9436111111112,15,17,55
67201.29506944444,28101.295069444444,39100.0,596.9347222222224,16,17,56
62601.295069444444,28101.295069444444,34500.0,362.6702083333332,15,15,57
60301.295069444444,28101.295069444444,32200.0,430.51666666666665,14,14,58
74101.29506944444,28101.295069444444,46000.0,400.7195833333333,19,20,59
64901.295069444444,28101.295069444444,36800.0,408.10430555555547,15,16,60
64901.295069444444,28101.295069444444,36800.0,435.6065277777776,16,16,61
60301.295069444444,28101.295069444444,32200.0,74.76354166666664,14,14,62
71801.29506944444,28101.295069444444,43700.0,345.98416666666674,19,19,63
64901.295069444444,28101.295069444444,36800.0,621.2203472222219,16,16,64
67201.29506944444,28101.295069444444,39100.0,439.34944444444443,15,17,65
67201.29506944444,28101.295069444444,39100.0,546.9975694444444,15,16,66
69501.29506944444,28101.295069444444,41400.0,664.1700000000001,16,18,67
55701.295069444444,28101.295069444444,27600.0,859.7766666666665,12,12,68
67201.29506944444,28101.295069444444,39100.0,516.9901388888887,14,17,69
62601.295069444444,28101.295069444444,34500.0,404.3785416666669,15,15,70
62601.295069444444,28101.295069444444,34500.0,426.7069444444445,14,15,71
74101.29506944444,28101.295069444444,46000.0,154.24951388888877,19,20,72
60301.295069444444,28101.295069444444,32200.0,722.652847222222,14,14,73
64901.295069444444,28101.295069444444,36800.0,402.1243055555553,16,16,74
67201.29506944444,28101.295069444444,39100.0,338.55881944444434,17,17,75
71801.29506944444,28101.295069444444,43700.0,449.3621527777777,18,19,76
67201.29506944444,28101.295069444444,39100.0,345.98416666666674,17,17,77
71801.29506944444,28101.295069444444,43700.0,320.5285416666668,18,19,78
64901.295069444444,28101.295069444444,36800.0,373.2787499999999,16,16,79
62601.295069444444,28101.295069444444,34500.0,614.3637499999999,14,15,80
76401.29506944444,28101.295069444444,48300.0,233.767986111111,18,21,81
69501.29506944444,28101.295069444444,41400.0,300.4796527777777,17,18,82
55701.295069444444,28101.295069444444,27600.0,411.13583333333344,12,12,83
71801.29506944444,28101.295069444444,43700.0,407.78562500000004,18,19,84
62601.295069444444,28101.295069444444,34500.0,752.8922916666662,14,15,85
78701.29506944444,28101.295069444444,50600.0,154.24951388888877,21,22,86
64901.295069444444,28101.295069444444,36800.0,571.9006944444442,16,16,87
60301.295069444444,28101.295069444444,32200.0,464.6543055555556,14,14,88
64901.295069444444,28101.295069444444,36800.0,368.0345138888888,15,16,89
64901.295069444444,28101.295069444444,36800.0,351.2284027777779,16,16,90
71801.29506944444,28101.295069444444,43700.0,259.0728472222222,17,19,91
60301.295069444444,28101.295069444444,32200.0,506.06472222222226,14,14,92
64901.295069444444,28101.295069444444,36800.0,324.5025694444444,16,16,93
78701.29506944444,28101.295069444444,50600.0,407.4768749999999,20,22,94
71801.29506944444,28101.295069444444,43700.0,446.11576388888886,17,19,95
60301.295069444444,28101.295069444444,32200.0,618.0552083333334,14,14,96
67201.29506944444,28101.295069444444,39100.0,464.9124999999999,17,17,97
69501.29506944444,28101.295069444444,41400.0,196.05083333333346,16,18,98
67201.29506944444,28101.295069444444,39100.0,146.592152777778,16,17,99
64901.295069444444,28101.295069444444,36800.0,499.7940277777776,15,16,100
