region,day,total_trucks,total_routes,total_cost,total_ww_cost
1,32,2,2,1809.3745801122138,1809.3745801122138
2,32,3,4,3812.8898880296797,3812.8898880296797
3,32,4,4,4629.911280152689,4629.911280152689
4,32,3,4,4413.3019946797285,4413.3019946797285
5,32,2,3,2741.0652104257324,2741.0652104257324
6,32,3,5,3985.462558811785,3985.462558811785
7,32,2,2,2662.4139810191855,2662.4139810191855
0,33,5,6,5995.712056141183,5995.712056141183
1,33,2,2,2229.848159600188,2229.848159600188
2,33,3,4,4602.157963437895,4602.157963437895
3,33,4,6,4254.128041931362,4254.128041931362
4,33,3,4,4302.935246272264,4302.935246272264
5,33,2,3,2623.200181035258,2623.200181035258
6,33,3,6,4403.675674918014,4403.675674918014
7,33,2,2,2434.9950191710172,2434.9950191710172
0,34,5,8,5947.195872022766,5947.195872022766
1,34,2,2,2483.464865375515,2483.464865375515
2,34,3,4,4475.2223689022385,4475.2223689022385
3,34,4,5,4890.258472093301,4890.258472093301
4,34,3,4,4598.86951282557,4598.86951282557
5,34,2,3,2221.110634703398,2221.110634703398
6,34,3,5,4304.46076811141,4304.46076811141
7,34,2,2,2710.886603159055,2710.886603159055
0,35,5,5,5726.189461892894,5726.189461892894
1,35,2,2,2333.464865375515,2333.464865375515
2,35,3,4,3619.132606165813,3619.132606165813
3,35,4,4,4357.4604683780635,4357.4604683780635
4,35,3,3,4206.36140910926,4206.36140910926
5,35,2,3,2262.7773013700644,2262.7773013700644
6,35,3,4,4441.189287155621,4441.189287155621
7,35,2,2,2512.4139810191855,2512.4139810191855
0,36,5,6,6214.581892632435,6214.581892632435
1,36,2,3,2859.711216812775,2859.711216812775
2,36,3,4,4149.215967676446,4149.215967676446
3,36,4,6,4377.116968439498,4377.116968439498
4,36,3,4,4393.00222138689,4393.00222138689
5,36,2,2,2214.126659253092,2214.126659253092
6,36,3,4,4320.52663284015,4320.52663284015
7,36,2,2,2602.553269825722,2602.553269825722
0,37,5,5,6079.361087175571,6079.361087175571
1,37,2,3,2343.2687731956153,2343.2687731956153
2,37,3,4,4772.757453429868,4772.757453429868
3,37,4,5,4827.447767166914,4827.447767166914
4,37,3,4,4654.411948511994,4654.411948511994
5,37,2,2,2351.626659253092,2351.626659253092
6,37,3,4,3852.3989835054426,3852.3989835054426
7,37,2,2,2602.553269825722,2602.553269825722
0,38,5,5,6044.6912709444,6044.6912709444
1,38,2,2,2502.690533455394,2502.690533455394
2,38,3,5,4014.9471878661184,4014.9471878661184
3,38,4,5,4366.46610631095,4366.46610631095
4,38,3,3,4093.8640145274585,4093.8640145274585
5,38,2,3,2612.8752201925545,2612.8752201925545
6,38,3,4,4501.2665750966125,4501.2665750966125
7,38,2,2,2019.5819943021393,2019.5819943021393
0,39,5,7,5848.996991804531,5848.996991804531
1,39,2,2,2297.6279098747973,2297.6279098747973
2,39,3,4,4245.467090032568,4245.467090032568
3,39,4,5,4575.685961991118,4575.685961991118
4,39,3,3,3891.2770554536983,3891.2770554536983
5,39,2,2,2339.126659253092,2339.126659253092
6,39,3,5,3720.002712029821,3720.002712029821
7,39,2,2,2592.867789676153,2592.867789676153
0,40,5,6,5877.403214746222,5877.403214746222
1,40,2,2,2387.6315320421813,2387.6315320421813
2,40,3,3,3796.434151610378,3796.434151610378
3,40,4,4,4554.221413722151,4554.221413722151
4,40,3,4,4749.154079422068,4749.154079422068
5,40,2,3,2706.5335143685916,2706.5335143685916
6,40,3,4,4506.499368154929,4506.499368154929
7,40,2,2,2277.9153276354727,2277.9153276354727
0,41,5,6,5819.263376353338,5819.263376353338
1,41,2,3,2513.3989683146947,2513.3989683146947
2,41,3,4,4131.373926204748,4131.373926204748
3,41,4,4,4568.564489898959,4568.564489898959
4,41,3,4,4451.229248756593,4451.229248756593
5,41,2,3,2554.5596872487667,2554.5596872487667
6,41,3,3,3762.189025469589,3762.189025469589
7,41,2,2,2559.9950191710172,2559.9950191710172
0,42,5,6,5835.0010716485785,5835.0010716485785
1,42,2,3,2985.407244652747,2985.407244652747
2,42,3,4,4632.92740649905,4632.92740649905
3,42,4,4,4449.161505871789,4449.161505871789
4,42,3,3,4109.268092486071,4109.268092486071
5,42,2,2,2393.293325919759,2393.293325919759
6,42,3,5,4024.8466743059435,4024.8466743059435
7,42,2,2,2266.672518763025,2266.672518763025
0,43,5,6,6350.226984686727,6350.226984686727
1,43,2,3,2479.4382963162216,2479.4382963162216
2,43,3,4,3873.693172988598,3873.693172988598
3,43,4,5,4760.566955140972,4760.566955140972
4,43,3,3,4129.732513387786,4129.732513387786
5,43,2,2,2351.626659253092,2351.626659253092
6,43,3,4,3953.233684092957,3953.233684092957
7,43,2,2,2528.4975270283658,2528.4975270283658
0,44,5,6,5799.3106314725665,5799.3106314725665
1,44,2,3,3235.835566892001,3235.835566892001
2,44,3,4,3389.08205008965,3389.08205008965
3,44,4,5,5188.139249040751,5188.139249040751
4,44,3,4,4687.187851319474,4687.187851319474
5,44,2,3,2268.560613679151,2268.560613679151
6,44,3,4,4195.537250431145,4195.537250431145
7,44,2,2,2409.9950191710172,2409.9950191710172
0,45,5,6,5472.268510613381,5472.268510613381
1,45,2,3,2530.0656349813617,2530.0656349813617
2,45,3,4,3936.4211276544756,3936.4211276544756
3,45,4,5,4256.849751976917,4256.849751976917
4,45,3,4,4465.307332650608,4465.307332650608
5,45,2,3,2127.6753890814107,2127.6753890814107
6,45,3,5,4137.095496405716,4137.095496405716
7,45,2,2,2378.4975270283658,2378.4975270283658
0,46,5,8,6000.6952965424225,6000.6952965424225
1,46,2,2,2592.2311269374595,2592.2311269374595
2,46,3,4,3854.556554696346,3854.556554696346
3,46,4,6,4817.868973426207,4817.868973426207
4,46,3,4,4357.289423885342,4357.289423885342
5,46,2,3,2790.409831576615,2790.409831576615
6,46,3,4,4757.229285136628,4757.229285136628
7,46,2,2,2486.8308603616993,2486.8308603616993
0,47,5,5,5915.063287864608,5915.063287864608
1,47,2,3,3081.24057798608,3081.24057798608
2,47,3,4,4212.411414614265,4212.411414614265
3,47,4,6,4548.84014888574,4548.84014888574
4,47,3,4,4249.750084235432,4249.750084235432
5,47,2,3,2648.1235023397353,2648.1235023397353
6,47,3,3,3859.486098989947,3859.486098989947
7,47,2,2,2486.8308603616993,2486.8308603616993
0,48,5,6,5790.141735063281,5790.141735063281
1,48,2,2,2366.1708600437087,2366.1708600437087
2,48,3,4,4052.304336760354,4052.304336760354
3,48,4,5,4702.934646848945,4702.934646848945
4,48,3,3,3825.2405893521745,3825.2405893521745
5,48,2,2,2320.879492537329,2320.879492537329
6,48,3,5,4081.064871202404,4081.064871202404
7,48,2,2,2115.4153276354727,2115.4153276354727
0,49,5,7,5920.441041204519,5920.441041204519
1,49,2,2,2450.9130956271924,2450.9130956271924
2,49,3,4,4524.739858222435,4524.739858222435
3,49,4,5,4251.825177755522,4251.825177755522
4,49,3,4,4750.910788302057,4750.910788302057
5,49,2,2,2393.293325919759,2393.293325919759
6,49,3,5,4087.8561156168175,4087.8561156168175
7,49,2,2,2294.389096080938,2294.389096080938
0,50,5,6,5881.184341309719,5881.184341309719
1,50,2,3,2451.6021065289488,2451.6021065289488
2,50,3,4,4061.0523793905195,4061.0523793905195
3,50,4,4,4335.300420520054,4335.300420520054
4,50,3,3,3981.6106106473617,3981.6106106473617
5,50,2,3,2698.6131953822014,2698.6131953822014
6,50,3,4,3686.6388804190224,3686.6388804190224
7,50,2,2,2295.455953263212,2295.455953263212
0,51,5,6,6332.360089325159,6332.360089325159
1,51,2,2,2480.2952782710263,2480.2952782710263
2,51,3,4,3750.4457125271406,3750.4457125271406
3,51,4,4,4422.565731283245,4422.565731283245
4,51,3,4,4451.565858755859,4451.565858755859
5,51,2,3,2904.7958318251995,2904.7958318251995
6,51,3,5,4108.862220991451,4108.862220991451
7,51,2,2,2257.6641936950327,2257.6641936950327
0,52,5,8,6081.34926608429,6081.34926608429
1,52,2,3,2881.3480124698913,2881.3480124698913
2,52,3,4,4228.873069743605,4228.873069743605
3,52,4,5,4873.274804577546,4873.274804577546
4,52,3,4,4315.929611588629,4315.929611588629
5,52,2,3,2964.071353981207,2964.071353981207
6,52,3,4,4568.746761627788,4568.746761627788
7,52,2,2,2348.748660968806,2348.748660968806
0,53,5,7,6035.065034737541,6035.065034737541
1,53,2,3,3081.8388023754806,3081.8388023754806
2,53,3,4,3809.9737383711617,3809.9737383711617
3,53,4,5,4715.059281784283,4715.059281784283
4,53,3,4,4874.937240622799,4874.937240622799
5,53,2,3,2648.098638509109,2648.098638509109
6,53,3,4,4185.632068778545,4185.632068778545
7,53,2,2,2560.978474236228,2560.978474236228
0,54,5,9,6006.845713842137,6006.845713842137
1,54,2,3,2848.0118632831663,2848.0118632831663
2,54,3,4,4000.333936296854,4000.333936296854
3,54,4,6,4721.730472272548,4721.730472272548
4,54,3,5,5079.694424800522,5079.694424800522
5,54,2,2,2263.9588122116925,2263.9588122116925
6,54,3,4,4232.39003453529,4232.39003453529
7,54,2,2,2378.7892865965455,2378.7892865965455
0,55,5,5,5962.173737629885,5962.173737629885
1,55,2,2,1849.8512703706224,1849.8512703706224
2,55,3,4,3579.8888569014302,3579.8888569014302
3,55,4,6,4417.513311283262,4417.513311283262
