region,day,total_trucks,total_routes,total_cost,total_ww_cost
6,6,3,3,2441.0234696592543,2441.0234696592543
7,6,2,2,2241.289286596545,2241.289286596545
0,7,5,6,3939.8614593721695,3939.8614593721695
1,7,2,1,1120.3294090615423,1120.3294090615423
2,7,3,3,2484.9182964830866,2484.9182964830866
3,7,4,4,3206.165561667043,3206.165561667043
4,7,3,4,2989.153313002973,2989.153313002973
5,7,2,2,1516.1787276077278,1516.1787276077278
6,7,3,3,2654.113992114069,2654.113992114069
7,7,2,1,1623.428085930286,1623.428085930286
0,8,5,7,4382.4911485848415,4382.4911485848415
1,8,2,2,1723.137695513557,1723.137695513557
2,8,3,3,3010.8070115167106,3010.8070115167106
3,8,4,4,2534.861780202624,2534.861780202624
4,8,3,3,2565.31965218489,2565.31965218489
5,8,2,1,1152.6583484609703,1152.6583484609703
6,8,3,2,2387.5628762770752,2387.5628762770752
7,8,2,1,1569.2614192636192,1569.2614192636192
0,9,5,7,4337.095338903783,4337.095338903783
1,9,2,1,1328.6627423948757,1328.6627423948757
2,9,3,4,2940.7546436504426,2940.7546436504426
3,9,4,4,2783.723620461277,2783.723620461277
4,9,3,4,2991.424719594387,2991.424719594387
5,9,2,1,1146.3090330002333,1146.3090330002333
6,9,3,2,1998.0763063112347,1998.0763063112347
7,9,2,2,2295.455953263212,2295.455953263212
0,10,5,7,4588.21237275492,4588.21237275492
1,10,2,2,1681.4710288468905,1681.4710288468905
2,10,3,4,3065.7546436504426,3065.7546436504426
3,10,4,4,2779.6241084133558,2779.6241084133558
4,10,3,3,2357.5568142170105,2357.5568142170105
5,10,2,1,1319.3250151276368,1319.3250151276368
6,10,3,3,2541.5317406185513,2541.5317406185513
7,10,2,2,2157.0819943021393,2157.0819943021393
0,11,5,6,3619.0281260388365,3619.0281260388365
1,11,2,1,1009.1053360856226,1009.1053360856226
2,11,3,4,3297.99633289596,3297.99633289596
3,11,4,5,3048.0285836066323,3048.0285836066323
4,11,3,3,2691.9151631975483,2691.9151631975483
5,11,2,2,1599.512060941061,1599.512060941061
6,11,3,3,2487.4473254474024,2487.4473254474024
7,11,2,1,1472.776216268102,1472.776216268102
0,12,5,7,4174.157815251508,4174.157815251508
1,12,2,1,1120.3294090615423,1120.3294090615423
2,12,3,3,3052.473678183377,3052.473678183377
3,12,4,4,2512.426947594481,2512.426947594481
4,12,3,2,2696.139398185615,2696.139398185615
5,12,2,1,1194.3250151276368,1194.3250151276368
6,12,3,3,2349.9473254474024,2349.9473254474024
7,12,2,2,1976.1497940604313,1976.1497940604313
0,13,5,5,3938.0777785656637,3938.0777785656637
1,13,2,2,1639.804362180224,1639.804362180224
2,13,3,4,3159.5129649339697,3159.5129649339697
3,13,4,5,3012.101961333432,3012.101961333432
4,13,3,3,2767.3375458283413,2767.3375458283413
5,13,2,1,1360.9916817943035,1360.9916817943035
6,13,3,2,2081.7998329873753,2081.7998329873753
7,13,2,1,1623.428085930286,1623.428085930286
0,14,5,7,4626.760724236326,4626.760724236326
1,14,2,1,1328.6627423948757,1328.6627423948757
2,14,3,5,3488.5115139614736,3488.5115139614736
3,14,4,5,2846.1097247350854,2846.1097247350854
4,14,3,3,2767.096226402309,2767.096226402309
5,14,2,2,1516.1787276077275,1516.1787276077275
6,14,3,3,2474.9473254474024,2474.9473254474024
7,14,2,2,2086.248660968806,2086.248660968806
0,15,5,7,4491.374070735169,4491.374070735169
1,15,2,1,1120.3294090615423,1120.3294090615423
2,15,3,4,2900.2017216715985,2900.2017216715985
3,15,4,5,2949.6060129759976,2949.6060129759976
4,15,3,3,2524.2234808836774,2524.2234808836774
5,15,2,1,1319.3250151276368,1319.3250151276368
6,15,3,2,1985.5763063112347,1985.5763063112347
7,15,2,2,2223.748660968806,2223.748660968806
0,16,5,6,4333.570259097034,4333.570259097034
1,16,2,1,1328.6627423948757,1328.6627423948757
2,16,3,4,2891.4278507929876,2891.4278507929876
3,16,4,5,3091.2726796426646,3091.2726796426646
4,16,3,4,3116.4247195943867,3116.4247195943867
5,16,2,2,1599.512060941061,1599.512060941061
6,16,3,2,1927.6331663207088,1927.6331663207088
7,16,2,1,1569.2614192636192,1569.2614192636192
0,17,5,7,4329.477878007908,4329.477878007908
1,17,2,1,1072.526026358051,1072.526026358051
2,17,3,4,3066.8683883382646,3066.8683883382646
3,17,4,5,2804.4430580684184,2804.4430580684184
4,17,3,4,3052.824148315861,3052.824148315861
5,17,2,1,1152.6583484609703,1152.6583484609703
6,17,3,2,2049.7115303553132,2049.7115303553132
7,17,2,2,2111.2486609688062,2111.2486609688062
0,18,5,7,4550.311211341242,4550.311211341242
1,18,2,1,1370.3294090615425,1370.3294090615425
2,18,3,5,3559.3448472948076,3559.3448472948076
3,18,4,4,2745.7602809278146,2745.7602809278146
4,18,3,3,2529.028665581415,2529.028665581415
5,18,2,1,979.6423663335665,979.6423663335665
6,18,3,2,2093.909639644568,2093.909639644568
7,18,2,2,2086.248660968806,2086.248660968806
0,19,5,7,4257.4911485848415,4257.4911485848415
1,19,2,1,1245.3294090615425,1245.3294090615425
2,19,3,3,2609.1454381727845,2609.1454381727845
3,19,4,5,3050.118124668639,3050.118124668639
4,19,3,3,2634.1372558588378,2634.1372558588378
5,19,2,1,1069.3250151276368,1069.3250151276368
6,19,3,3,2591.0234696592543,2591.0234696592543
7,19,2,2,2127.9153276354727,2127.9153276354727
0,20,5,7,4174.1578152515085,4174.1578152515085
1,20,2,1,1245.3294090615425,1245.3294090615425
2,20,3,2,2670.902293769231,2670.902293769231
3,20,4,5,2927.4038611451124,2927.4038611451124
4,20,3,3,2837.785568207824,2837.785568207824
5,20,2,1,1110.9916817943035,1110.9916817943035
6,20,3,3,2578.5234696592543,2578.5234696592543
7,20,2,2,2169.5819943021393,2169.5819943021393
0,21,5,7,4421.545706088254,4421.545706088254
1,21,2,1,1120.3294090615423,1120.3294090615423
2,21,3,3,2400.417938933072,2400.417938933072
3,21,4,4,2769.3315231610213,2769.3315231610213
4,21,3,2,2013.6707040777242,2013.6707040777242
5,21,2,1,955.6802747436373,955.6802747436373
6,21,3,2,2663.8116060341254,2663.8116060341254
7,21,2,2,2032.0819943021393,2032.0819943021393
0,22,5,6,4123.6073395987705,4123.6073395987705
1,22,2,1,1245.3294090615425,1245.3294090615425
2,22,3,4,2940.7546436504426,2940.7546436504426
3,22,4,5,2929.4430580684184,2929.4430580684184
4,22,3,1,1682.6761962379687,1682.6761962379687
5,22,2,1,1152.6583484609703,1152.6583484609703
6,22,3,2,2386.7185611317145,2386.7185611317145
7,22,2,2,2223.748660968806,2223.748660968806
0,23,5,5,4056.1265342043034,4056.1265342043034
1,23,2,1,1204.813122841278,1204.813122841278
2,23,3,3,3125.053303127119,3125.053303127119
3,23,4,4,2729.417769937125,2729.417769937125
4,23,3,4,3033.0913862610537,3033.0913862610537
5,23,2,1,1277.6583484609703,1277.6583484609703
6,23,3,3,2449.9473254474024,2449.9473254474024
7,23,2,2,2194.5819943021397,2194.5819943021397
0,24,5,7,4833.621965933254,4833.621965933254
1,24,2,1,1203.6627423948757,1203.6627423948757
2,24,3,4,3012.701721671598,3012.701721671598
3,24,4,5,3091.272679642664,3091.272679642664
4,24,3,2,2144.9846133713936,2144.9846133713936
5,24,2,1,937.9756996668998,937.9756996668998
6,24,3,3,2578.5234696592543,2578.5234696592543
7,24,2,1,1569.2614192636192,1569.2614192636192
0,25,5,6,3889.3983708659334,3889.3983708659334
1,25,2,1,1245.3294090615425,1245.3294090615425
2,25,3,4,3024.087976983776,3024.087976983776
3,25,4,5,2929.443058068418,2929.443058068418
4,25,3,3,2481.986318851557,2481.986318851557
5,25,2,1,1319.3250151276368,1319.3250151276368
6,25,3,2,2010.5763063112347,2010.5763063112347
7,25,2,2,2182.0819943021397,2182.0819943021397
0,26,5,4,4245.265335480904,4245.265335480904
1,26,2,2,1681.4710288468905,1681.4710288468905
2,26,3,3,2433.739924071113,2433.739924071113
3,26,4,5,2845.435294666765,2845.435294666765
4,26,3,3,3089.988313060474,3089.988313060474
5,26,2,1,1277.6583484609703,1277.6583484609703
6,26,3,3,2695.7806587807354,2695.7806587807354
7,26,2,2,2098.7486609688062,2098.7486609688062
0,27,5,6,4381.8930551204085,4381.8930551204085
1,27,2,1,1161.996075728209,1161.996075728209
2,27,3,3,3025.999979577629,3025.999979577629
3,27,4,5,3140.5593522878853,3140.5593522878853
4,27,3,3,2587.929559735642,2587.929559735642
5,27,2,1,1194.3250151276368,1194.3250151276368
6,27,3,2,2192.7096887308758,2192.7096887308758
7,27,2,2,2115.4153276354727,2115.4153276354727
