region,day,total_trucks,total_routes,total_overworked,total_double_shift,total_cost,cost_overworked,total_ww_cost
5,30,2,3,0,1,2921.1239984684294,0.0,2921.1239984684294
6,30,3,5,1,2,4178.762163072383,219.3601806400486,4178.762163072383
7,30,2,2,1,0,2348.7486609688062,170.15064549184643,2348.7486609688062
0,31,5,5,0,0,5589.876997028724,0.0,5589.876997028724
1,31,2,2,1,0,2348.2730023310423,26.89812731117331,2348.2730023310423
2,31,3,4,2,1,4082.3501024838533,73.05317839348506,4082.3501024838533
3,31,4,5,1,1,4807.988870978818,0.01835882425244664,4807.988870978818
4,31,3,3,2,0,3950.2651358340186,351.2286348224482,3950.2651358340186
5,31,2,3,1,1,2718.6795863627094,59.668492767069516,2718.6795863627094
6,31,3,4,2,1,4646.611634503161,317.2503658747238,4646.611634503161
7,31,2,2,1,0,2515.9975270283658,248.8854319217992,2515.9975270283658
0,32,5,6,1,1,5673.522047422653,206.75246542466763,5673.522047422653
1,32,2,2,0,0,1809.3745801122138,0.0,1809.3745801122138
2,32,3,4,1,1,3812.8898880296797,217.55806158363987,3812.8898880296797
3,32,4,4,1,0,4629.911280152689,20.684506257591867,4629.911280152689
4,32,3,4,2,1,4413.3019946797285,380.7018869865974,4413.3019946797285
5,32,2,4,0,2,3131.1013892236424,0.0,3131.1013892236424
6,32,3,5,2,2,3985.462558811785,258.5851422285109,3985.462558811785
7,32,2,2,1,0,2662.4139810191855,270.43522533225104,2662.4139810191855
0,33,5,5,1,0,5773.66116541447,84.75516374585615,5773.66116541447
1,33,2,2,1,0,2229.848159600188,35.59182413911698,2229.848159600188
2,33,3,4,2,1,4602.157963437895,310.6427737839368,4602.157963437895
3,33,4,6,0,2,4254.128041931362,0.0,4254.128041931362
4,33,3,4,1,1,4302.935246272264,122.11975473034671,4302.935246272264
5,33,2,4,1,2,2812.54496557524,5.501826100402847,2812.54496557524
6,33,3,6,1,3,4403.675674918014,99.61686478427414,4403.675674918014
7,33,2,2,1,0,2434.9950191710172,220.01576893319913,2434.9950191710172
0,34,5,7,1,2,5624.844387957653,3.94000344426537,5624.844387957653
1,34,2,2,1,0,2483.464865375515,147.16291199338366,2483.464865375515
2,34,3,4,2,1,4475.2223689022385,173.58050293265762,4475.2223689022385
3,34,4,5,1,1,4890.258472093301,32.97211342298869,4890.258472093301
4,34,3,4,2,1,4598.86951282557,299.02520899178234,4598.86951282557
5,34,2,3,1,1,2297.4291201931087,29.429784450973077,2297.4291201931087
6,34,3,5,0,2,4304.46076811141,0.0,4304.46076811141
7,34,2,2,2,0,2710.886603159055,299.9276990494664,2710.886603159055
0,35,5,5,2,0,5459.358203206329,104.2356933696441,5459.358203206329
1,35,2,2,1,0,2333.464865375515,38.82957866005034,2333.464865375515
