0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
27141.55,41063.81,31935.17,39372.15,32839.43,35142.34,28027.16,52613.28,26809.03,37541.01,19935.54,19157.1,18910.43,31658.43,39286.79,23214.51,19968.43,16963.27,31194.37,37798.39,0.0,11580.15,25990.88,3918.93,20107.25,14281.55,29040.66,37981.75,16606.24,41590.8,24125.26,33066.86,4307.13,38283.23,49925.98,39780.18,40685.25,46601.05,30246.63,40889.37,12076.55,25569.62,28303.57,31512.14,23038.42,12906.93,19588.07,30122.74,34221.98,52506.96,37605.61
20723.17,34645.42,27518.04,32953.77,26421.04,28723.95,23610.03,46194.89,22391.89,28561.92,13517.15,12738.71,12492.04,22203.78,32868.4,16796.12,13550.04,3861.95,24775.98,31380.0,11706.92,0.0,19572.5,7783.0,13688.86,7863.16,24623.53,31563.37,12189.11,35172.42,19708.13,23846.37,8375.37,31864.84,43507.59,33361.79,34266.87,40182.67,23828.24,34470.99,5527.17,19151.24,21885.19,25093.76,16620.03,4262.99,15170.94,23704.35,27803.6,46088.57,31187.23
1777.14,16485.58,18200.0,14793.92,7715.23,10564.1,22819.52,28035.04,21601.39,20105.63,7806.42,10880.96,12487.34,13747.5,14162.59,7195.13,6830.23,14022.24,16319.7,13220.16,26008.62,19242.78,0.0,22084.7,8470.47,15250.99,19557.5,13403.52,26230.72,17012.57,18917.62,15390.08,22677.07,12703.75,11236.32,15201.94,16107.02,22022.82,4876.92,16311.14,17685.94,4847.16,8540.51,6933.91,2873.19,13872.67,21999.71,4758.32,9643.75,27928.72,13027.38
23790.66,37712.91,28584.28,36021.26,29488.53,31791.44,24676.26,49262.38,23458.13,34190.11,16584.65,15806.21,15559.53,28307.54,35935.9,19863.62,16617.54,13612.37,27843.48,34447.5,3923.92,8229.26,22639.99,0.0,16756.36,10930.66,25689.77,34630.86,13255.35,38239.91,20774.37,29715.97,3691.82,34932.34,46575.08,36429.29,37334.36,43250.16,26895.73,37538.48,8725.66,22218.73,24952.68,28161.25,19687.53,9556.04,16237.18,26771.84,30871.09,49156.06,34254.72
10471.89,24394.14,13140.82,22702.48,17084.96,18472.67,17760.34,35943.61,16542.21,15046.45,4346.99,3699.87,1219.69,8688.32,23532.33,8947.72,4188.71,8262.89,11597.15,21128.72,20249.27,13483.43,9321.22,16325.35,0.0,9491.64,14498.32,21312.09,21171.54,24921.14,13858.45,10330.9,16917.72,22073.49,20606.06,23110.51,24015.59,29931.39,13576.96,24219.71,11926.59,5245.66,8357.87,14842.48,6368.75,8113.32,16940.53,13453.07,17552.32,35837.29,20935.95
16500.93,30423.19,22434.04,28731.53,22198.8,24501.71,27053.57,41972.65,25835.44,24339.68,9294.91,8516.47,8269.8,17981.54,28646.17,12573.88,9327.81,6322.64,20553.75,27157.77,14837.0,8071.16,15350.26,10913.08,9466.63,0.0,23791.54,27341.13,19036.22,30950.18,23151.67,19624.13,8320.77,27642.6,39285.35,29139.55,30044.63,35960.43,19606.0,30248.75,3636.27,14929.0,17662.95,20871.52,12397.79,4069.94,22018.04,19482.11,23581.36,41866.33,26964.99
21631.22,35553.48,5412.8,33861.82,20489.82,29632.0,2617.46,47102.95,4435.04,8917.82,16978.49,20049.28,16002.24,9321.39,26937.18,17631.91,17281.59,23190.56,11335.76,32288.06,28017.14,23591.2,20480.55,24093.22,15090.12,24419.31,0.0,32471.42,13264.65,36080.47,3381.06,8482.34,25069.79,25478.35,24010.92,34269.85,35174.93,41090.72,24736.29,35379.04,27984.52,16439.12,14814.15,26001.81,17528.09,23040.99,9033.63,24612.41,28711.65,46996.63,32095.28
14570.76,10095.97,30490.65,2826.53,15592.74,11064.18,35110.18,28234.89,33892.05,32396.29,20097.07,23171.61,24777.99,26038.15,22040.11,19485.78,19120.89,26312.89,28610.35,4414.03,38299.27,31533.43,13420.09,34375.35,20761.13,27541.64,31848.15,0.0,38521.38,3227.22,31208.28,27680.73,34967.73,14039.29,22190.97,12005.4,12531.5,16637.61,11481.98,4281.27,29976.6,19751.0,21652.7,7718.57,15985.38,26163.33,34290.36,12761.43,4346.99,28128.57,12484.21
27654.62,41576.87,17338.61,39885.21,28605.51,35655.4,13430.6,53126.34,12212.47,22944.45,23001.88,22752.0,22505.33,17061.87,35052.87,23655.3,23304.99,20558.16,21688.99,38311.45,15704.07,11278.13,26503.95,11780.15,21113.51,17876.45,14444.11,38494.82,0.0,42103.87,9528.7,18470.3,12756.73,33594.03,32126.6,40293.24,41198.32,47114.12,30759.69,41402.43,15671.45,22462.52,20837.54,32025.21,23551.48,16501.83,4991.51,30635.8,34735.05,53020.02,38118.68
18335.99,10941.77,34255.88,4510.25,25789.79,15251.74,38875.4,29343.56,37657.27,36161.51,23862.29,26936.84,28543.22,29803.38,27186.4,23251.01,22886.11,30078.12,37085.92,5259.82,42064.5,35298.66,17185.32,38140.58,24526.35,31306.87,35613.38,3390.4,42286.6,0.0,34973.5,31445.96,38732.95,22280.86,23036.76,12851.2,13377.29,17483.4,15247.21,2693.99,33741.82,23516.22,25417.92,11483.8,19750.6,29928.55,38055.59,16526.65,8112.22,23372.83,13330.0
20723.72,34645.98,8278.38,32954.32,21674.61,28724.5,4344.65,46195.45,3126.52,11783.4,16070.99,19141.78,15094.74,10130.98,28121.97,16724.41,16374.09,22283.06,14758.09,31380.56,24301.39,19875.46,19573.05,20377.47,14182.61,26473.77,3367.19,31563.92,9548.9,35172.97,0.0,11539.41,21354.05,26663.13,25195.71,33362.34,34267.42,40183.22,23828.79,34471.54,24268.78,15531.62,13906.65,25094.31,16620.59,25099.15,5317.89,23704.9,27804.15,46089.13,31187.78
12113.94,26563.92,3490.72,30019.51,12793.24,20798.5,10986.03,36309.54,13859.67,4959.81,13136.18,16206.97,10422.84,1624.81,19240.6,13789.6,13439.29,19348.25,3233.0,28445.75,33241.5,24568.79,16638.24,29317.58,11247.81,20577.0,8186.0,28629.12,18489.01,32238.17,11175.91,0.0,30294.15,17781.76,16314.33,24776.6,23967.15,23749.62,20893.99,31536.73,23011.96,9348.53,5954.03,22159.5,13685.78,19198.69,14257.99,11162.74,24869.35,36203.21,23514.18
